jogo_id,time_a,time_b,odd_1,odd_x,odd_2,odd_under_gols,linha gols,odd_over_gols,ambas marcam (sim),ambas marcam (não)
1,MEX,RSA,1.45,4.33,7,2,2.25,1.85,2.38,1.53
2,KOR,CZE,2.62,3.1,2.75,1.85,2.25,2,1.95,1.8
3,CAN,BIH,1.8,3.7,4.33,1.9,2.25,1.95,2.05,1.7
4,USA,PAR,1.95,3.4,4,1.83,2.25,2.03,2,1.75
5,HAI,SCO,6,4.75,1.45,2.15,2.25,1.68,2.1,1.66
6,AUS,TUR,4.5,3.5,1.8,2.05,2.25,1.8,1.95,1.8
7,BRA,MAR,1.6,4,5.25,2.05,2.25,1.75,2,1.75
8,QAT,SUI,12,6.25,1.22,2.6,2.25,1.48,2.38,1.53
9,CIV,ECU,3.6,2.9,2.25,1.55,2.25,2.38,2.2,1.62
10,GER,CUW,1.04,17,34,6,2.25,1.13,2.75,1.4
11,NED,JPN,2,3.75,3.4,2.15,2.25,1.68,1.75,2
12,SWE,TUN,1.95,3.3,4,1.85,2.25,2,2,1.75
13,KSA,URU,6.5,4.5,1.48,2.15,2.25,1.68,2.1,1.67
14,ESP,CPV,1.07,11,26,3.9,2.25,1.24,2.63,1.44
15,IRN,NZL,1.9,3.5,4.1,1.88,2.25,1.98,2,1.75
16,BEL,EGY,1.66,3.8,5,2.3,2.25,1.6,1.8,1.95
17,FRA,SEN,1.44,4.5,6.5,2.25,2.25,1.63,2,1.75
18,IRQ,NOR,12,6.25,1.22,2.75,2.25,1.43,2.25,1.57
19,ARG,ALG,1.42,4.5,7,2.15,2.25,1.68,2.2,1.61
20,AUT,JOR,1.33,5.5,7.5,2.68,2.25,1.45,2,1.75
21,GHA,PAN,2,3.5,3.6,1.9,2.25,1.95,1.95,1.8
22,ENG,CRO,1.72,3.7,4.75,2.03,2.25,1.83,1.95,1.8
23,POR,COD,1.27,6,9.5,2.75,2.25,1.43,2.05,1.7
24,UZB,COL,7.5,4.5,1.4,2.15,2.25,1.68,2.1,1.66
