 ano , fase , time_a , time_b , gols_a , gols_b , odd_vitoria_time_a, odd_empate, odd_vitoria_time_b,odd_under_gols,linha gols,odd_over_gols,ambas marcam (sim),ambas marcam (não)
2022,grupos,QAT,ECU,0,2,3.2,3.25,2.25,1.85,2.25,2.05,2.05,1.7
2022,grupos,SEN,NED,0,2,5.5,3.6,1.666,1.85,2.25,2.05,2.2,1.61
2022,grupos,QAT,SEN,1,3,5,3.5,1.727,2.08,2.25,1.82,2.2,1.61
2022,grupos,NED,ECU,1,1,1.85,3.25,4.75,1.88,2,2.02,2.1,1.66
2022,grupos,NED,QAT,2,0,1.2,7,15,2.01,3.25,1.89,2.05,1.7
2022,grupos,ECU,SEN,1,2,2.4,2.875,3.4,1.775,1.75,2.025,2.2,1.61
2022,grupos,ENG,IRN,6,2,1.4,4.75,8,1.95,2.5,1.95,2.75,1.4
2022,grupos,USA,WAL,1,1,2.45,3.1,3.2,2.09,2.25,1.81,1.95,1.8
2022,grupos,WAL,IRN,0,2,2.2,3.1,3.6,1.88,2,2.02,2.05,1.7
2022,grupos,ENG,USA,0,0,1.45,4,8,1.85,2.25,2.05,2.2,1.61
2022,grupos,IRN,USA,0,1,4,3.4,1.909,2.01,2.25,1.89,1.95,1.8
2022,grupos,WAL,ENG,0,3,8,4,1.444,1.86,2.25,2.04,2.2,1.61
2022,grupos,ARG,KSA,1,2,1.111,8.5,23,1.97,3,1.93,3,1.36
2022,grupos,MEX,POL,0,0,2.45,3.1,3.2,2.08,2.25,1.82,1.95,1.8
2022,grupos,POL,KSA,2,0,1.7,3.6,5.25,2.05,2.25,1.85,2.2,1.61
2022,grupos,ARG,MEX,2,0,1.571,4,6.5,2.02,2.25,1.88,2.2,1.61
2022,grupos,KSA,MEX,1,2,5.5,4,1.571,2.03,2.5,1.87,2,1.75
2022,grupos,POL,ARG,0,2,8.5,4.333,1.4,1.98,2.25,1.92,2.37,1.53
2022,grupos,DEN,TUN,0,0,1.571,4,6,1.95,2.25,1.95,2.2,1.61
2022,grupos,FRA,AUS,4,1,1.2,7,12,2.04,3,1.86,2.5,1.5
2022,grupos,TUN,AUS,0,1,2.2,3.25,3.5,2.05,2.25,1.85,2,1.75
2022,grupos,FRA,DEN,2,1,1.8,3.5,4.5,2.02,2.25,1.88,2,1.75
2022,grupos,AUS,DEN,1,0,7.5,5,1.4,2.04,2.5,1.86,2.2,1.61
2022,grupos,TUN,FRA,1,0,6,3.6,1.615,2.04,2.25,1.86,2.1,1.66
2022,grupos,GER,JPN,1,2,1.444,5,7,1.98,3,1.92,1.8,1.95
2022,grupos,ESP,CRC,7,0,1.125,8.5,19,1.85,3,2.05,2.62,1.44
2022,grupos,JPN,CRC,0,1,1.5,4,7,2.025,2.5,1.775,2.2,1.61
2022,grupos,ESP,GER,1,1,2.5,3.4,2.75,1.89,2.5,2.01,1.61,2.2
2022,grupos,CRC,GER,2,4,23,11,1.083,1.93,3.5,1.97,2.75,1.4
2022,grupos,JPN,ESP,2,1,7,4.333,1.444,1.83,2.25,2.07,2.1,1.66
2022,grupos,MAR,CRO,0,0,3.4,3.2,2.25,2.03,2.25,1.87,1.95,1.8
2022,grupos,BEL,CAN,1,0,1.615,4,5.5,1.825,2.5,1.975,1.8,1.95
2022,grupos,BEL,MAR,0,2,1.909,3.5,4,1.75,2,2.05,2.05,1.7
2022,grupos,CRO,CAN,4,1,1.8,3.5,4.333,2.14,2.5,1.77,1.9,1.9
2022,grupos,CAN,MAR,1,2,4.75,3.4,1.8,1.75,2,2.05,2.1,1.66
2022,grupos,CRO,BEL,0,0,2.875,3.4,2.4,2.04,2.5,1.86,1.8,1.95
2022,grupos,SUI,CMR,1,0,1.727,3.4,5.5,2.02,2.25,1.88,2.1,1.66
2022,grupos,BRA,SRB,2,0,1.5,4.333,6.5,1.8,2.5,2,1.95,1.8
2022,grupos,CMR,SRB,3,3,5.5,3.75,1.666,2.02,2.5,1.88,1.95,1.8
2022,grupos,BRA,SUI,1,0,1.5,4,7.5,1.98,2.25,1.92,2.2,1.62
2022,grupos,CMR,BRA,1,0,8.5,5,1.333,1.86,2.75,2.04,2.05,1.7
2022,grupos,SRB,SUI,2,3,2.5,3.4,2.75,1.87,2.5,2.03,1.7,2.05
2022,grupos,URU,KOR,0,0,1.75,3.5,5,2.03,2.25,1.87,2.05,1.7
2022,grupos,POR,GHA,3,2,1.3,5.5,10,1.98,2.75,1.92,2.2,1.62
2022,grupos,KOR,GHA,2,3,2.75,3,2.75,1.87,2,2.03,2,1.75
2022,grupos,POR,URU,2,0,1.909,3.25,4.333,2.06,2.25,1.84,2,1.75
2022,grupos,KOR,POR,2,1,3.75,3.6,1.909,1.8,2.25,2,1.95,1.8
2022,grupos,GHA,URU,0,2,4.75,3.75,1.727,1.87,2.25,2.03,1.95,1.8
2022,oitavas,NED,USA,3,1,1.952,3.25,4,2.1,2.25,1.8,2,1.75
2022,oitavas,ARG,AUS,2,1,1.285,6,8.5,1.88,2.5,2.02,2.37,1.53
2022,oitavas,FRA,POL,3,1,1.363,4.75,8.5,1.89,2.75,2.01,2,1.75
2022,oitavas,ENG,SEN,3,0,1.615,3.5,6.5,1.825,2,1.975,2.37,1.53
2022,oitavas,JPN,CRO,1,1,3.75,3.2,2.05,1.75,2,2.05,2,1.75
2022,oitavas,BRA,KOR,4,1,1.222,6.5,13,1.92,2.75,1.98,2.5,1.5
2022,oitavas,MAR,ESP,0,0,5.5,3.6,1.666,1.98,2.25,1.92,2.1,1.67
2022,oitavas,POR,SUI,6,1,2,3.5,4,1.98,2.5,1.92,1.7,2.05
2022,quartas,CRO,BRA,0,0,8,4.333,1.444,1.93,2.5,1.97,2.2,1.62
2022,quartas,NED,ARG,2,2,3.6,3,2.2,2,2,1.9,2.05,1.7
2022,quartas,MAR,POR,1,0,7,3.75,1.533,1.84,2.25,2.06,2.05,1.7
2022,quartas,ENG,FRA,1,2,2.75,3.1,2.75,1.9,2,2,1.95,1.8
2022,semi,ARG,CRO,3,0,1.952,3.1,4.5,1.91,2,1.99,2.1,1.67
2022,semi,FRA,MAR,2,0,1.571,4,6,1.775,2,2.025,2.25,1.57
2022,terceiro,CRO,MAR,2,1,2.25,3.5,3.1,1.88,2.5,2.02,1.67,2.1
2022,final,ARG,FRA,2,2,2.625,3,3,1.9,2,2,1.91,1.91
2018,grupos,RUS,KSA,5,0,1.44,4.333,9.5,1.93,2.25,1.97,2.37,1.53
2018,grupos,EGY,URU,0,1,9,4,1.5,1.84,2.25,2.06,2.2,1.61
2018,grupos,RUS,EGY,3,1,1.95,3.5,4.33,1.53,2.5,2.4,2.1,1.66
2018,grupos,URU,KSA,1,0,1.2,7,19,2.14,2.5,1.66,2.5,1.5
2018,grupos,KSA,EGY,2,1,5.25,3.6,1.8,1.64,2.5,2.2,2.04,1.7
2018,grupos,URU,RUS,3,0,2.8,3.1,2.9,1.6,2.5,2.3,1.95,1.8
2018,grupos,MAR,IRN,0,1,2.2,3,4.2,1.36,2.5,3.1,2.37,1.53
2018,grupos,POR,ESP,3,3,4.333,3.2,2,1.87,2.25,2.03,1.95,1.8
2018,grupos,POR,MAR,1,0,1.7,3.75,5.75,1.7,2.5,2.1,2.04,1.7
2018,grupos,IRN,ESP,0,1,19,7,1.2,2.04,2.5,1.75,2.75,1.4
2018,grupos,ESP,MAR,2,2,1.36,5.1,10.5,2.3,2.5,1.6,1.8,1.95
2018,grupos,IRN,POR,1,1,6,4.1,1.61,1.8,2.5,2,2,1.75
2018,grupos,FRA,AUS,2,1,1.25,7.5,10.5,2.1,2.5,1.7,2.37,1.53
2018,grupos,DEN,AUS,1,1,1.95,3.4,4.5,1.57,2.5,2.35,2.04,1.7
2018,grupos,FRA,PER,1,0,1.95,2.3,6,1.57,2.5,2.35,2.5,1.5
2018,grupos,PER,DEN,0,1,3.75,3.1,2.3,1.36,2.5,3.1,2.37,1.53
2018,grupos,DEN,FRA,0,0,5.75,2.75,2.04,1.53,2.5,2.4,2.04,1.7
2018,grupos,AUS,PER,0,2,2.87,3.6,2.5,1.72,2.5,1.9,1.9,1.9
2018,grupos,CRO,NGA,2,0,1.667,3.75,6,2.02,2.25,1.88,2.1,1.66
2018,grupos,CRO,ARG,0,3,2.1,3.3,4,1.61,2.5,2.25,2,1.75
2018,grupos,NGA,ISL,2,0,3,3.1,2.7,1.44,2.5,2.7,2.2,1.61
2018,grupos,ISL,CRO,1,2,4.33,4,1.83,1.75,2.5,2.04,1.95,1.8
2018,grupos,ARG,ISL,1,1,1.333,5.5,11,2,2.5,1.8,2.2,1.61
2018,grupos,NGA,ARG,1,2,6,5.25,1.5,2.3,2.5,1.6,1.75,2
2018,grupos,CRC,SRB,0,1,5.5,3.4,1.8,1.5,2.5,2.5,2.25,1.57
2018,grupos,BRA,SUI,1,1,1.5,4.75,9.74,1.85,2.5,1.95,2.1,1.66
2018,grupos,BRA,CRC,2,0,1.2,6.75,21,2,2.5,1.8,3,1.36
2018,grupos,SRB,SUI,1,2,2.8,3,3,1.53,2.5,2.4,2,1.75
2018,grupos,SUI,CRC,2,2,1.6,3.8,7.5,1.61,2.5,2.25,2.1,1.66
2018,grupos,SRB,BRA,0,2,7.75,4.75,1.44,2.2,2.5,1.64,1.75,2
2018,grupos,GER,MEX,0,1,1.52,4.75,8.36,2.3,2.5,1.6,1.7,2.04
2018,grupos,MEX,SWE,0,3,2.2,3.4,3.6,1.8,2.5,2,1.8,1.95
2018,grupos,SWE,KOR,1,0,2.25,3,4,1.44,2.5,2.7,2.2,1.61
2018,grupos,KOR,MEX,1,2,5.5,3.9,1.7,1.8,2.5,2,1.9,1.9
2018,grupos,KOR,GER,2,0,19,8.5,1.16,2.7,2.5,1.44,2.1,1.66
2018,grupos,GER,SWE,2,1,1.44,4.75,8,2.2,2.5,1.64,1.8,1.95
2018,grupos,BEL,PAN,3,0,1.2,7,19,2.14,2.5,1.66,1.44,2.62
2018,grupos,TUN,ENG,1,2,8.5,4.2,1.5,1.66,2.5,2.14,2.25,1.57
2018,grupos,BEL,TUN,5,2,1.33,5.25,12,2,2.5,1.8,2.1,1.66
2018,grupos,ENG,PAN,6,1,1.22,6.5,19,2,2.5,1.8,2.75,1.4
2018,grupos,ENG,BEL,0,1,2.45,2.8,3.8,1.47,2.5,2.6,2.04,1.7
2018,grupos,PAN,TUN,1,2,4.33,3.8,1.86,1.66,2.5,2.14,1.95,1.8
2018,grupos,COL,JPN,1,2,1.9,3.3,5,1.5,2.5,2.5,1.61,2.2
2018,grupos,POL,SEN,1,2,2.55,33,3.3,1.5,2.5,2.5,2,1.75
2018,grupos,JPN,SEN,2,2,3.2,2.9,2.7,1.44,2.5,2.7,2.04,1.7
2018,grupos,POL,COL,0,3,3.6,3.5,2.14,1.61,2.5,2.25,1.9,1.9
2018,grupos,SEN,COL,0,1,5,3.75,1.8,1.8,2.5,2,1.9,1.9
2018,grupos,JPN,POL,0,1,3,3.1,2.7,1.7,2.5,2.1,1.8,1.95
2018,oitavas,FRA,ARG,4,3,2.45,3.1,3.4,1.53,2.5,2.4,2,1.75
2018,oitavas,URU,POR,2,1,3.1,3,2.75,1.7,2.5,2.87,2.2,1.61
2018,oitavas,ESP,RUS,1,1,1.57,4.2,6.5,1.9,2.5,1.9,1.95,1.8
2018,oitavas,CRO,DEN,1,1,1.95,3.3,4.75,1.5,2.5,2.5,2.2,1.61
2018,oitavas,BRA,MEX,2,0,1.5,4.4,7.5,2,2.5,1.8,1.95,1.8
2018,oitavas,BEL,JPN,3,2,1.4,4.8,9.5,2.07,2.5,1.72,1.95,1.8
2018,oitavas,SWE,SUI,1,0,3.4,2.95,2.54,1.53,2.5,2.4,2,1.75
2018,oitavas,COL,ENG,1,1,4.2,3.1,2.14,1.47,2.5,2.2,2.2,1.61
2018,quartas,URU,FRA,0,2,4.9,3.1,2,1.44,2.5,2.7,2.25,1.57
2018,quartas,BRA,BEL,1,2,2.1,3.5,3.75,2,2.5,1.8,1.66,2.1
2018,quartas,RUS,CRO,1,1,4,3.2,2.14,1.5,2.5,2.5,2.1,1.66
2018,quartas,SWE,ENG,0,2,5.2,3.4,1.85,1.57,2.5,2.35,2.1,1.66
2018,semi,FRA,BEL,1,0,2.6,3.1,3.1,1.7,2.5,2.1,1.8,1.95
2018,semi,CRO,ENG,1,1,3.9,3,2.3,1.77,2.5,2.7,2.2,1.61
2018,terceiro,BEL,ENG,2,0,2.25,3.8,3.2,2.25,2.5,1.61,1.53,2.37
2018,final,FRA,CRO,4,2,2.14,3,4.33,1.44,2.5,2.7,2.25,1.57
2014,grupos,BRA,CRO,3,1,1.33,5,13,1.7,2.5,2.1,2.63,1.44
2014,grupos,CMR,BRA,1,4,26,10,1.13,3.4,2.5,1.33,2.5,1.5
2014,grupos,CRO,MEX,1,3,2.75,3.6,2.63,1.8,2.5,2,1.8,1.91
2014,grupos,MEX,CMR,1,0,2.2,3.2,3.9,1.48,2.5,2.6,2.1,1.67
2014,grupos,ESP,NED,1,5,1.85,3.4,5.25,1.62,2.5,2.25,2.1,1.67
2014,grupos,CHI,AUS,3,1,1.44,4.5,9,1.85,2.5,1.95,2.1,1.67
2014,grupos,COL,GRE,3,0,1.85,3.3,5.5,1.4,2.5,2.88,2.5,1.5
2014,grupos,URU,CRC,1,3,1.44,4.33,9.5,1.62,2.5,2.25,2.63,1.44
2014,grupos,ENG,ITA,1,2,2.5,3,3.4,1.57,2.5,2.35,1.91,1.8
2014,grupos,CIV,JPN,2,1,2.75,3.4,2.7,1.8,2.5,2,1.73,2
2014,grupos,HON,ECU,1,2,6,4.25,1.6,2.05,2.5,1.75,1.8,1.91
2014,grupos,HON,SUI,0,3,7.5,4.5,1.5,2.08,2.5,1.73,1.8,1.91
2014,grupos,SUI,ECU,2,1,2.55,3.2,3.1,1.62,2.5,2.25,1.83,1.83
2014,grupos,EC,FRA,0,0,6,4.2,1.62,2.2,2.5,1.65,1.62,2.2
2014,grupos,SUI,FRA,2,5,4.5,3.6,1.91,1.6,2.5,2.3,2.1,1.67
2014,grupos,FRA,HON,3,0,1.25,6.5,14,2.08,2.5,1.73,2.38,1.53
2014,grupos,EUA,GER,0,1,9,3.2,1.67,1.85,2.5,1.95,1.8,1.91
2014,grupos,NIG,ARG,2,3,10,4.33,1.44,2.1,2.5,1.7,1.83,1.83
2014,grupos,ARG,IRN,1,0,1.14,9,23,2.25,2.5,1.62,2.63,1.44
2014,grupos,ARG,BIH,2,1,1.3,5.75,12,2.35,2.5,1.57,1.91,1.8
2014,grupos,GER,POR,4,0,2.15,3.5,3.6,1.9,2.5,1.9,1.67,2.1
2014,grupos,GER,GHA,2,2,1.36,5.5,9.5,2.35,2.5,1.57,1.83,1.83
2014,grupos,POR,GHA,2,1,1.73,5,4,3.1,2.5,1.36,1.4,2.75
2014,grupos,BIH,IRN,3,1,2.2,3.6,3.4,1.7,2.5,2.1,1.91,1.8
2014,grupos,NIG,BIH,1,0,4.5,3.6,1.91,2,2.5,1.8,1.67,2.1
2014,grupos,EUA,POR,2,2,4.75,4.2,1.75,2,2.5,1.8,1.8,1.91
2014,grupos,IRN,NGA,0,0,5,3.5,1.85,1.6,2.5,2.3,2,1.73
2014,grupos,GHA,USA,1,2,2.5,3.4,3,1.67,2.5,2.15,1.83,1.83
2014,grupos,BEL,ALG,2,1,1.33,5.5,11,2.1,2.5,1.7,2.1,1.67
2014,grupos,ALG,RUS,1,1,3.8,3.8,2,1.67,2.5,2.15,2,1.73
2014,grupos,KOR,ALG,2,4,2.5,3.4,3,1.48,2.5,2.6,2.2,1.62
2014,grupos,KOR,BEL,0,1,4.75,3.6,1.85,1.85,2.5,1.95,1.73,2
2014,grupos,BRA,MEX,0,0,1.37,5.25,10,2.1,2.5,1.7,2,1.73
2014,grupos,BEL,RUS,1,0,2.25,3.4,3.5,1.57,2.5,2.35,2,1.73
2014,grupos,RUS,KOR,1,1,1.85,3.6,4.75,1.67,2.5,2.15,1.91,1.8
2014,grupos,AUS,NED,2,3,13,7,1.25,2.25,2.5,1.62,2.1,1.67
2014,grupos,CRC,ENG,0,0,4.75,4.1,1.75,2,2.5,1.8,1.8,1.91
2014,grupos,NED,CHI,2,0,2.75,3.6,2.6,2,2.5,1.8,1.62,2.2
2014,grupos,AUS,ESP,0,9,5.5,1.36,2.5,2.88,2.5,1.4,1.67,2.1
2014,grupos,ESP,CHI,0,2,1.61,4.5,5.5,2.2,2.5,1.65,1.67,2.1
2014,grupos,CMR,CRO,0,4,5.75,4,1.67,1.85,2.5,1.95,1.83,1.83
